PMSBP,TQBR,10,0.2
POGR,TQBR,100,0.005
POLY,TQBR,1,0.1
PRMB,TQBR,1,200.0
QIWI,TQBR,1,0.5
RASP,TQBR,10,0.02
RAVN,TQBR,100,0.05
RBCM,TQBR,100,0.002
RDRB,TQBR,10,2.0
RGSS,TQBR,1000,0.0002
RKKE,TQBR,1,10.0
RNFT,TQBR,1,0.2
ROLO,TQBR,100,0.005
ROSB,TQBR,10,0.2
ROSN,TQBR,10,0.05
ROST,TQBR,10,0.2
RSTI,TQBR,1000,0.0001
RSTIP,TQBR,1000,0.001
RTGZ,TQBR,1,100.0
RTKM,TQBR,10,0.01
RTKMP,TQBR,10,0.05
RTSB,TQBR,1000,0.005
RTSBP,TQBR,10000,0.001
RUAL,TQBR,10,0.005
RUGR,TQBR,10,0.002
RUSI,TQBR,100,0.1
RUSP,TQBR,1000,0.0005
RZSB,TQBR,100,0.02
SAGO,TQBR,1000,0.002
SAGOP,TQBR,10000,0.001
SARE,TQBR,10000,0.0002
SAREP,TQBR,10000,0.0002
SBER,TQBR,10,0.01
SBERP,TQBR,10,0.01
SELG,TQBR,100,0.01
SELGP,TQBR,100,0.05
SFIN,TQBR,10,0.2
SIBN,TQBR,10,0.05
SLEN,TQBR,100,0.005
SMLT,TQBR,1,0.2
SNGS,TQBR,100,0.005
SNGSP,TQBR,100,0.005
STSB,TQBR,1000,0.0005
STSBP,TQBR,1000,0.0005
SVAV,TQBR,10,0.5
TASB,TQBR,10000,0.0005
TASBP,TQBR,10000,0.0005
TATN,TQBR,1,0.1
TATNP,TQBR,1,0.1
TCSG,TQBR,1,0.2
TGKA,TQBR,100000,2e-06
TGKB,TQBR,1000000,5e-06
TGKBP,TQBR,100000,1e-05
TGKD,TQBR,100000,5e-06
TGKDP,TQBR,100000,5e-06
TGKN,TQBR,1000000,1e-05
TNSE,TQBR,1,5.0
TORS,TQBR,10000,0.001
TORSP,TQBR,10000,0.0005
TRCN,TQBR,1,5.0
TRFM,TQBR,10000,2e-05
TRMK,TQBR,10,0.02
TRNFP,TQBR,1,50.0
TTLK,TQBR,10000,0.0005
TUZA,TQBR,10,0.5
UCSS,TQBR,1,10.0
UKUZ,TQBR,1,2.0
